name,url
عائشة,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B9%D8%A7%D9%8A%D9%94%D8%B4%D8%A9.wav
علي,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B9%D9%84%D9%8A.wav
عمار,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B9%D9%85%D8%A7%D8%B1_original.wav
عمر,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B9%D9%85%D8%B1_original.wav
عنان,https://senseiprod.github.io/audio-storage/processed_audios/%D8%B9%D9%86%D8%A7%D9%86_original.wav
غانم,https://senseiprod.github.io/audio-storage/processed_audios/%D8%BA%D8%A7%D9%86%D9%85_original.wav
فؤاد,https://senseiprod.github.io/audio-storage/processed_audios/%D9%81%D8%A4%D8%A7%D8%AF_original.wav
فارس,https://senseiprod.github.io/audio-storage/processed_audios/%D9%81%D8%A7%D8%B1%D8%B3_original.wav
فرح,https://senseiprod.github.io/audio-storage/processed_audios/%D9%81%D8%B1%D8%AD.wav
فهد,https://senseiprod.github.io/audio-storage/processed_audios/%D9%81%D9%87%D8%AF.wav
قيس,https://senseiprod.github.io/audio-storage/processed_audios/%D9%82%D9%8A%D8%B3_original.wav
كاظم,https://senseiprod.github.io/audio-storage/processed_audios/%D9%83%D8%A7%D8%B8%D9%85_original.wav
كرم,https://senseiprod.github.io/audio-storage/processed_audios/%D9%83%D8%B1%D9%85.wav
كريم,https://senseiprod.github.io/audio-storage/processed_audios/%D9%83%D8%B1%D9%8A%D9%85_original.wav
كمال,https://senseiprod.github.io/audio-storage/processed_audios/%D9%83%D9%85%D8%A7%D9%84_original.wav
لطفي,https://senseiprod.github.io/audio-storage/processed_audios/%D9%84%D8%B7%D9%81%D9%8A_original.wav
لميس,https://senseiprod.github.io/audio-storage/processed_audios/%D9%84%D9%85%D9%8A%D8%B3_original.wav
لُجين,https://senseiprod.github.io/audio-storage/processed_audios/%D9%84%D9%8F%D8%AC%D9%8A%D9%86_original.wav
ماجد,https://senseiprod.github.io/audio-storage/processed_audios/%D9%85%D8%A7%D8%AC%D8%AF.wav
ماجد,https://senseiprod.github.io/audio-storage/processed_audios/%D9%85%D8%A7%D8%AC%D8%AF_original.wav
مثال صوت مستنسخ من لهجاتي,https://senseiprod.github.io/audio-storage/processed_audios/%D9%85%D8%AB%D8%A7%D9%84%20%D8%B5%D9%88%D8%AA%20%D9%85%D8%B3%D8%AA%D9%86%D8%B3%D8%AE%20%D9%85%D9%86%20%D9%84%D9%87%D8%AC%D8%A7%D8%AA%D9%8A_original.wav
محمد,https://senseiprod.github.io/audio-storage/processed_audios/%D9%85%D8%AD%D9%85%D8%AF_original.wav
مصطفى,https://senseiprod.github.io/audio-storage/processed_audios/%D9%85%D8%B5%D8%B7%D9%81%D9%89_original.wav
معتز,https://senseiprod.github.io/audio-storage/processed_audios/%D9%85%D8%B9%D8%AA%D8%B2_original.wav
منصور,https://senseiprod.github.io/audio-storage/processed_audios/%D9%85%D9%86%D8%B5%D9%88%D8%B1_original.wav
منيرة,https://senseiprod.github.io/audio-storage/processed_audios/%D9%85%D9%86%D9%8A%D8%B1%D8%A9.wav
مهند,https://senseiprod.github.io/audio-storage/processed_audios/%D9%85%D9%87%D9%86%D8%AF.wav
موسى,https://senseiprod.github.io/audio-storage/processed_audios/%D9%85%D9%88%D8%B3%D9%89.wav
ناجا,https://senseiprod.github.io/audio-storage/processed_audios/%D9%86%D8%A7%D8%AC%D8%A7.wav
ناديا,https://senseiprod.github.io/audio-storage/processed_audios/%D9%86%D8%A7%D8%AF%D9%8A%D8%A7_original.wav
ناصر,https://senseiprod.github.io/audio-storage/processed_audios/%D9%86%D8%A7%D8%B5%D8%B1_original.wav
نصير,https://senseiprod.github.io/audio-storage/processed_audios/%D9%86%D8%B5%D9%8A%D8%B1.wav
نواف,https://senseiprod.github.io/audio-storage/processed_audios/%D9%86%D9%88%D8%A7%D9%81_original.wav
نورة,https://senseiprod.github.io/audio-storage/processed_audios/%D9%86%D9%88%D8%B1%D8%A9.wav
هاجر,https://senseiprod.github.io/audio-storage/processed_audios/%D9%87%D8%A7%D8%AC%D8%B1_original.wav
همس,https://senseiprod.github.io/audio-storage/processed_audios/%D9%87%D9%85%D8%B3_original.wav
هنادي,https://senseiprod.github.io/audio-storage/processed_audios/%D9%87%D9%86%D8%A7%D8%AF%D9%8A.wav
هند,https://senseiprod.github.io/audio-storage/processed_audios/%D9%87%D9%86%D8%AF_original.wav
وسيم,https://senseiprod.github.io/audio-storage/processed_audios/%D9%88%D8%B3%D9%8A%D9%85_original.wav
وليد,https://senseiprod.github.io/audio-storage/processed_audios/%D9%88%D9%84%D9%8A%D8%AF.wav
يحيى,https://senseiprod.github.io/audio-storage/processed_audios/%D9%8A%D8%AD%D9%8A%D9%89_original.wav
يزد,https://senseiprod.github.io/audio-storage/processed_audios/%D9%8A%D8%B2%D8%AF_original.wav
يسرى,https://senseiprod.github.io/audio-storage/processed_audios/%D9%8A%D8%B3%D8%B1%D9%89_original.wav
يمنى,https://senseiprod.github.io/audio-storage/processed_audios/%D9%8A%D9%85%D9%86%D9%89.wav
